#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v2_Results', 'verbose': True}
#
'totalSteps': 77824, 'rewardStep': 0.8223591637193464, 'errorList': [], 'lossList': [0.0, -0.4730313254520297, 0.0, 3.48146566003561, 0.0, 0.0, 0.0], 'rewardMean': 0.48869633402219337, 'totalEpisodes': 1724, 'stepsPerEpisode': 38, 'rewardPerEpisode': 31.992802206620436
'totalSteps': 79872, 'rewardStep': 0.3414199337695737, 'errorList': [], 'lossList': [0.0, -0.4592540507204831, 0.0, 12.346620824187994, 0.0, 0.0, 0.0], 'rewardMean': 0.4767727308840339, 'totalEpisodes': 1738, 'stepsPerEpisode': 96, 'rewardPerEpisode': 59.57978492083375
'totalSteps': 81920, 'rewardStep': 0.7771307472572552, 'errorList': [], 'lossList': [0.0, -0.4457399851642549, 0.0, 8.710666295140982, 0.0, 0.0, 0.0], 'rewardMean': 0.4690859128479066, 'totalEpisodes': 1752, 'stepsPerEpisode': 117, 'rewardPerEpisode': 89.36405968244733
'totalSteps': 83968, 'rewardStep': 0.8169804623752208, 'errorList': [], 'lossList': [0.0, -0.44223665529862044, 0.0, 6.963999358564616, 0.0, 0.0, 0.0], 'rewardMean': 0.48065657007170853, 'totalEpisodes': 1763, 'stepsPerEpisode': 46, 'rewardPerEpisode': 41.93193089394999
'totalSteps': 86016, 'rewardStep': 0.7276515379681524, 'errorList': [], 'lossList': [0.0, -0.4345029752701521, 0.0, 9.47542758733034, 0.0, 0.0, 0.0], 'rewardMean': 0.5139164696879798, 'totalEpisodes': 1771, 'stepsPerEpisode': 168, 'rewardPerEpisode': 133.51998031771436
'totalSteps': 88064, 'rewardStep': 0.821328581148479, 'errorList': [], 'lossList': [0.0, -0.4189635838381946, 0.0, 4.5706281691789625, 0.0, 0.0, 0.0], 'rewardMean': 0.5279659773054315, 'totalEpisodes': 1783, 'stepsPerEpisode': 80, 'rewardPerEpisode': 62.63825389676395
'totalSteps': 90112, 'rewardStep': 0.4241516027978264, 'errorList': [], 'lossList': [0.0, -0.39634053595364094, 0.0, 4.842834437265992, 0.0, 0.0, 0.0], 'rewardMean': 0.48582797579669884, 'totalEpisodes': 1792, 'stepsPerEpisode': 328, 'rewardPerEpisode': 271.91562362609477
'totalSteps': 92160, 'rewardStep': 0.850082100734536, 'errorList': [], 'lossList': [0.0, -0.3853630032390356, 0.0, 6.059463682770729, 0.0, 0.0, 0.0], 'rewardMean': 0.558110412977039, 'totalEpisodes': 1803, 'stepsPerEpisode': 85, 'rewardPerEpisode': 75.51509973092834
'totalSteps': 94208, 'rewardStep': 0.7606638952009689, 'errorList': [], 'lossList': [0.0, -0.3927311886101961, 0.0, 4.350108659267425, 0.0, 0.0, 0.0], 'rewardMean': 0.6341768024971358, 'totalEpisodes': 1815, 'stepsPerEpisode': 47, 'rewardPerEpisode': 37.87877855035279
'totalSteps': 96256, 'rewardStep': 0.7404983657314286, 'errorList': [], 'lossList': [0.0, -0.3891180710867047, 0.0, 1.6911412412300706, 0.0, 0.0, 0.0], 'rewardMean': 0.7082266390702787, 'totalEpisodes': 1822, 'stepsPerEpisode': 217, 'rewardPerEpisode': 158.55206118029722
'totalSteps': 98304, 'rewardStep': 0.5393893537156964, 'errorList': [], 'lossList': [0.0, -0.37471393048763274, 0.0, 1.8236823622137308, 0.0, 0.0, 0.0], 'rewardMean': 0.6799296580699138, 'totalEpisodes': 1831, 'stepsPerEpisode': 319, 'rewardPerEpisode': 246.37660451888567
'totalSteps': 100352, 'rewardStep': 0.8996150577241309, 'errorList': [], 'lossList': [0.0, -0.3643281579017639, 0.0, 2.450635670684278, 0.0, 0.0, 0.0], 'rewardMean': 0.7357491704653695, 'totalEpisodes': 1835, 'stepsPerEpisode': 443, 'rewardPerEpisode': 377.68655709618304
'totalSteps': 102400, 'rewardStep': 0.8152193459106927, 'errorList': [], 'lossList': [0.0, -0.36845180168747904, 0.0, 7.351343796774745, 0.0, 0.0, 0.0], 'rewardMean': 0.7395580303307132, 'totalEpisodes': 1843, 'stepsPerEpisode': 21, 'rewardPerEpisode': 19.034673990563903
'totalSteps': 104448, 'rewardStep': 0.8030226154842521, 'errorList': [], 'lossList': [0.0, -0.3794068705290556, 0.0, 10.031094358116388, 0.0, 0.0, 0.0], 'rewardMean': 0.7381622456416164, 'totalEpisodes': 1846, 'stepsPerEpisode': 1341, 'rewardPerEpisode': 1011.9641326638405
'totalSteps': 106496, 'rewardStep': 0.9094629094230835, 'errorList': [], 'lossList': [0.0, -0.3565944354981184, 0.0, 3.7467749577015637, 0.0, 0.0, 0.0], 'rewardMean': 0.7563433827871094, 'totalEpisodes': 1852, 'stepsPerEpisode': 50, 'rewardPerEpisode': 42.47182458473859
'totalSteps': 108544, 'rewardStep': 0.7114384857266346, 'errorList': [], 'lossList': [0.0, -0.3258023917675018, 0.0, 8.240104849636555, 0.0, 0.0, 0.0], 'rewardMean': 0.745354373244925, 'totalEpisodes': 1857, 'stepsPerEpisode': 322, 'rewardPerEpisode': 266.923096298022
'totalSteps': 110592, 'rewardStep': 0.485914610267402, 'errorList': [], 'lossList': [0.0, -0.30783428736031054, 0.0, 2.155713119544089, 0.0, 0.0, 0.0], 'rewardMean': 0.7515306739918826, 'totalEpisodes': 1860, 'stepsPerEpisode': 505, 'rewardPerEpisode': 409.51858126947405
'totalSteps': 112640, 'rewardStep': 0.7576147377239901, 'errorList': [], 'lossList': [0.0, -0.2974285610020161, 0.0, 6.518183198943734, 0.0, 0.0, 0.0], 'rewardMean': 0.742283937690828, 'totalEpisodes': 1865, 'stepsPerEpisode': 172, 'rewardPerEpisode': 117.56837898617366
'totalSteps': 114688, 'rewardStep': 0.8981790772355835, 'errorList': [], 'lossList': [0.0, -0.2816519532352686, 0.0, 5.090153540298343, 0.0, 0.0, 0.0], 'rewardMean': 0.7560354558942896, 'totalEpisodes': 1870, 'stepsPerEpisode': 48, 'rewardPerEpisode': 41.06764417569343
'totalSteps': 116736, 'rewardStep': 0.8836382190709187, 'errorList': [], 'lossList': [0.0, -0.25894188433885573, 0.0, 1.4761334747076034, 0.0, 0.0, 0.0], 'rewardMean': 0.7703494412282386, 'totalEpisodes': 1873, 'stepsPerEpisode': 487, 'rewardPerEpisode': 413.70136153839803
'totalSteps': 118784, 'rewardStep': 0.8613256232644084, 'errorList': [], 'lossList': [0.0, -0.23825630880892276, 0.0, 9.901461167261004, 0.0, 0.0, 0.0], 'rewardMean': 0.8025430681831096, 'totalEpisodes': 1876, 'stepsPerEpisode': 266, 'rewardPerEpisode': 239.5732018779862
'totalSteps': 120832, 'rewardStep': 0.8508315961235345, 'errorList': [], 'lossList': [0.0, -0.21163013763725758, 0.0, 1.0810705089941621, 0.0, 0.0, 0.0], 'rewardMean': 0.7976647220230502, 'totalEpisodes': 1877, 'stepsPerEpisode': 950, 'rewardPerEpisode': 833.5171185699016
'totalSteps': 122880, 'rewardStep': 0.8306627743175555, 'errorList': [], 'lossList': [0.0, -0.18529048077762128, 0.0, 0.3790350829716772, 0.0, 0.0, 0.0], 'rewardMean': 0.7992090648637363, 'totalEpisodes': 1877, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1779.9820904479045
'totalSteps': 124928, 'rewardStep': 0.8763963258956489, 'errorList': [], 'lossList': [0.0, -0.1746570523828268, 0.0, 0.8228243459016085, 0.0, 0.0, 0.0], 'rewardMean': 0.806546435904876, 'totalEpisodes': 1877, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1748.0333168131713
'totalSteps': 126976, 'rewardStep': 0.9158024054304473, 'errorList': [], 'lossList': [0.0, -0.14846579320728778, 0.0, 0.14177820194745436, 0.0, 0.0, 0.0], 'rewardMean': 0.8071803855056123, 'totalEpisodes': 1877, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1823.815882151184
'totalSteps': 129024, 'rewardStep': 0.9651946238630705, 'errorList': [0.3523550704778924, 0.5334282432171273, 0.9401333857017645, 0.9026688397482749, 1.0584161061262145, 0.5983443440214451, 0.44503408200108213, 1.7714494770266724, 0.4894760921301152, 0.3918743922046386, 0.45086967963125707, 0.47414550908131703, 1.4462572042536754, 0.8425969740948025, 0.5361200175039458, 0.8807963540566414, 0.6428936527502516, 1.8672787591018727, 0.3944327757843352, 0.881999314787054, 0.32855325250050516, 0.962374201989115, 0.8064626198660326, 3.6114499964030595, 4950445.216345468, 0.6191346913474708, 83000.02889040599, 0.5478912150542832, 0.5926634261002152, 5432479.843446447, 0.41603213866357064, 0.771721409060439, 19.26622802768815, 1712157.9458220361, 0.7803181722552724, 0.7393012707094484, 0.4150933368215304, 1.350350413929894, 0.8152223749727964, 2.2609161169849825, 2218823.14101209, 25.80497668556669, 0.5061615012000642, 0.38760148660732335, 1.130139980941956, 0.36630362273386674, 1.5973602347332092, 0.3565884228656653, 0.48123293614119844, 0.40487534463477015, 0.4662525243113083, 0.32051661884107374, 0.19408243014914103, 1.5069565339016222, 0.8105764343946824, 0.8519401373109937, 0.7493147206260923, 0.47275970340259915, 25.715733808405854, 0.3882672011660758, 66.97277762689475, 0.6431088861629379, 0.7697994478485501, 1.8105398181474444, 0.49487289020688613, 0.49411016365694305, 0.9931616577028004, 0.25186459927435817, 67.55860723098091, 1.7640604921555039, 641083.9096772065, 0.41704737530846053, 0.34092115051846145, 854174.664059329, 9.136916271817295, 0.3918545572332403, 1.0283211552426377, 1.0555792429389892, 0.2269900106799334, 0.5647113273986637, 0.42386045330183203, 0.4685505855044372, 127979.05992938092, 511944.5140513888, 0.9078347876999678, 2145570.7564604566, 0.8577783490084148, 0.13142862977260306, 0.3704602187382462, 0.6166074005573766, 0.7196326558565536, 0.4330575320450602, 4.662968021841536, 1.5743169398621102, 0.22619873336426963, 0.8778868660000201, 0.3842399296214401, 7510473.610045665, 0.4566556024097652, 2.670860802022247], 'lossList': [0.0, -0.10990259051322937, 0.0, 0.07151816377881914, 0.0, 0.0, 0.0], 'rewardMean': 0.832555999319256, 'totalEpisodes': 1877, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1865.0260557281413, 'successfulTests': 2
'totalSteps': 131072, 'rewardStep': 0.7133954985301821, 'errorList': [], 'lossList': [0.0, -0.08681783676147461, 0.0, 0.12457465484039858, 0.0, 0.0, 0.0], 'rewardMean': 0.855304088145534, 'totalEpisodes': 1877, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1755.887158786248
'totalSteps': 133120, 'rewardStep': 0.9303649321490715, 'errorList': [], 'lossList': [0.0, -0.07158342227339745, 0.0, 0.09344706455012783, 0.0, 0.0, 0.0], 'rewardMean': 0.8725791075880421, 'totalEpisodes': 1878, 'stepsPerEpisode': 1832, 'rewardPerEpisode': 1636.8992522671838
'totalSteps': 135168, 'rewardStep': 0.8999147820224194, 'errorList': [], 'lossList': [0.0, -0.014693758636713027, 0.0, 0.04879665047046729, 0.0, 0.0, 0.0], 'rewardMean': 0.8727526780667256, 'totalEpisodes': 1878, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1871.673843170262
'totalSteps': 137216, 'rewardStep': 0.8993231701285221, 'errorList': [], 'lossList': [0.0, 0.03171476237475872, 0.0, 0.0369536503974814, 0.0, 0.0, 0.0], 'rewardMean': 0.8743211731724859, 'totalEpisodes': 1878, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1888.9779958639906
'totalSteps': 139264, 'rewardStep': 0.9400441433940769, 'errorList': [], 'lossList': [0.0, 0.08862628266215325, 0.0, 0.026374974692589603, 0.0, 0.0, 0.0], 'rewardMean': 0.8821930251854528, 'totalEpisodes': 1878, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1909.461020991254
'totalSteps': 141312, 'rewardStep': 0.8524285147511095, 'errorList': [], 'lossList': [0.0, 0.15070695392787456, 0.0, 0.033163165289442985, 0.0, 0.0, 0.0], 'rewardMean': 0.8823527170482104, 'totalEpisodes': 1878, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1894.4427707990212
