globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,decaySteps_0,decaySteps_1,controlValues_00,controlValues_01,controlValues_10,controlValues_11,case,computationIndex
133,50,20480,0,10000.0,1,4.0,0,0,4,133
134,50,25600,0,10000.0,1,4.0,0,0,5,134
135,0,-1,0,10000.0,1,6.0,0,0,1,135
136,0,-1,0,10000.0,1,6.0,0,0,2,136
137,50,24320,0,10000.0,1,6.0,0,0,3,137
138,0,-1,0,10000.0,1,6.0,0,0,4,138
139,50,25600,0,10000.0,1,6.0,0,0,5,139
140,0,-1,0,10000.0,1,8.0,0,0,1,140
141,0,-1,0,10000.0,1,8.0,0,0,2,141
142,0,-1,0,10000.0,1,8.0,0,0,3,142
143,49,25600,0,10000.0,1,8.0,0,0,4,143
144,0,-1,0,10000.0,1,8.0,0,0,5,144
145,0,-1,0,10000.0,1,10.0,0,0,1,145
146,0,-1,0,10000.0,1,10.0,0,0,2,146
147,0,-1,0,10000.0,1,10.0,0,0,3,147
148,0,-1,0,10000.0,1,10.0,0,0,4,148
149,0,-1,0,10000.0,1,10.0,0,0,5,149
