globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,decaySteps_0,decaySteps_1,controlValues_00,controlValues_01,controlValues_10,controlValues_11,case,computationIndex
117,0,-1,0,9000.0,1,8.0,0,0,3,117
118,50,25600,0,9000.0,1,8.0,0,0,4,118
119,50,25600,0,9000.0,1,8.0,0,0,5,119
120,50,16640,0,9000.0,1,10.0,0,0,1,120
121,50,25600,0,9000.0,1,10.0,0,0,2,121
122,1,20480,0,9000.0,1,10.0,0,0,3,122
123,50,25600,0,9000.0,1,10.0,0,0,4,123
124,50,25600,0,9000.0,1,10.0,0,0,5,124
125,50,25600,0,10000.0,1,2.0,0,0,1,125
126,50,25600,0,10000.0,1,2.0,0,0,2,126
127,50,24320,0,10000.0,1,2.0,0,0,3,127
128,0,-1,0,10000.0,1,2.0,0,0,4,128
129,50,21760,0,10000.0,1,2.0,0,0,5,129
130,46,25600,0,10000.0,1,4.0,0,0,1,130
131,44,19200,0,10000.0,1,4.0,0,0,2,131
132,0,-1,0,10000.0,1,4.0,0,0,3,132
133,50,25600,0,10000.0,1,4.0,0,0,4,133
134,50,20480,0,10000.0,1,4.0,0,0,5,134
135,9,21760,0,10000.0,1,6.0,0,0,1,135
136,46,25600,0,10000.0,1,6.0,0,0,2,136
137,0,-1,0,10000.0,1,6.0,0,0,3,137
138,50,25600,0,10000.0,1,6.0,0,0,4,138
139,50,21760,0,10000.0,1,6.0,0,0,5,139
140,50,25600,0,10000.0,1,8.0,0,0,1,140
141,50,25600,0,10000.0,1,8.0,0,0,2,141
142,50,24320,0,10000.0,1,8.0,0,0,3,142
143,50,25600,0,10000.0,1,8.0,0,0,4,143
144,3,19200,0,10000.0,1,8.0,0,0,5,144
145,50,25600,0,10000.0,1,10.0,0,0,1,145
146,50,19200,0,10000.0,1,10.0,0,0,2,146
147,19,23040,0,10000.0,1,10.0,0,0,3,147
148,50,25600,0,10000.0,1,10.0,0,0,4,148
149,50,25600,0,10000.0,1,10.0,0,0,5,149
